symbol,board,limit_days_max,limit_days_20cm,gap_3,gap_4,gap_5,n
603578,沪主板,4,0,2,1,0,60
300949,创业板,0,0,0,0,0,60
002575,深主板,4,0,5,4,2,60
301292,创业板,2,1,6,3,2,60
301131,创业板,0,0,0,0,0,60
688678,科创板,4,0,2,2,2,60
603738,沪主板,10,0,10,7,6,60
600855,沪主板,1,0,0,0,0,60
688343,科创板,4,0,2,1,1,60
300637,创业板,1,0,2,0,0,60
688325,科创板,2,0,5,3,1,60
603079,沪主板,0,0,0,0,0,60
300193,创业板,1,0,0,0,0,60
603351,沪主板,1,0,0,0,0,60
301290,创业板,0,0,1,1,0,60
002120,深主板,0,0,1,1,1,60
605099,沪主板,3,0,2,2,1,60
301129,创业板,0,0,1,0,0,60
688029,科创板,0,0,0,0,0,60
600798,沪主板,1,0,1,1,1,60
002576,深主板,1,0,0,0,0,60
688330,科创板,0,0,2,1,0,60
300535,创业板,0,0,0,0,0,60
600293,沪主板,6,0,4,1,1,60
300414,创业板,1,1,2,0,0,60
688114,科创板,2,0,2,0,0,60
601699,沪主板,1,0,2,1,1,60
603917,沪主板,1,0,1,1,1,60
688326,科创板,0,0,1,1,1,60
002760,深主板,1,0,5,4,2,60
601163,沪主板,0,0,0,0,0,60
601825,沪主板,0,0,0,0,0,60
600300,沪主板,0,0,0,0,0,60
688545,科创板,9,1,19,11,5,60
603638,沪主板,3,0,2,2,0,60
300188,创业板,0,0,0,0,0,60
300025,创业板,0,0,0,0,0,60
688786,科创板,8,0,8,5,3,60
600458,沪主板,4,0,4,3,0,60
301135,创业板,0,0,0,0,0,60
300501,创业板,1,0,1,0,0,60
603028,沪主板,0,0,1,0,0,60
600088,沪主板,2,0,0,0,0,60
603787,沪主板,0,0,0,0,0,60
301286,创业板,5,0,5,3,1,60
601388,沪主板,0,0,2,1,1,60
002448,深主板,2,0,1,1,1,60
600681,沪主板,0,0,0,0,0,60
603080,沪主板,0,0,1,0,0,60
600094,沪主板,2,0,2,1,1,60
601728,沪主板,0,0,0,0,0,60
688063,科创板,1,0,0,0,0,60
000066,深主板,4,0,8,6,3,60
603876,沪主板,1,0,2,1,0,60
002451,深主板,1,0,1,0,0,60
300452,创业板,0,0,0,0,0,60
000529,深主板,0,0,0,0,0,60
603579,沪主板,0,0,1,0,0,60
000957,深主板,0,0,0,0,0,60
002570,深主板,1,0,3,1,1,60
002276,深主板,0,0,1,1,0,60
300417,创业板,0,0,1,0,0,60
600990,沪主板,3,0,2,0,0,60
600970,沪主板,0,0,0,0,0,60
300793,创业板,0,0,0,0,0,60
002161,深主板,2,0,0,0,0,60
601012,沪主板,0,0,0,0,0,60
603916,沪主板,2,0,3,0,0,60
000669,深主板,0,0,8,5,1,60
002091,深主板,0,0,0,0,0,60
300533,创业板,2,0,3,3,2,60
301287,创业板,0,0,0,0,0,60
300187,创业板,0,0,0,0,0,60
600643,沪主板,0,0,0,0,0,60
300030,创业板,0,0,0,0,0,60
002449,深主板,1,0,4,2,1,60
301136,创业板,0,0,0,0,0,60
300022,创业板,0,0,1,1,0,60
000039,深主板,1,0,1,0,0,60
300026,创业板,0,0,0,0,0,60
300416,创业板,1,0,1,1,0,60
688600,科创板,2,1,2,1,1,60
000564,深主板,2,0,2,0,0,60
600017,沪主板,0,0,0,0,0,60
300024,创业板,2,0,1,0,0,60
300190,创业板,0,0,1,1,0,60
000400,深主板,0,0,0,0,0,60
600858,沪主板,0,0,0,0,0,60
603269,沪主板,5,0,5,3,2,60
601827,沪主板,0,0,0,0,0,60
600459,沪主板,4,0,4,3,1,60
603027,沪主板,0,0,0,0,0,60
002446,深主板,3,0,2,0,0,60
688638,科创板,0,0,1,1,1,60
300845,创业板,1,0,0,0,0,60
688083,科创板,4,1,0,0,0,60
688007,科创板,1,0,0,0,0,60
300415,创业板,1,0,0,0,0,60
603266,沪主板,0,0,0,0,0,60
600784,沪主板,2,0,0,0,0,60
301132,创业板,6,1,7,5,1,60
300191,创业板,5,0,18,7,6,60
002573,深主板,0,0,0,0,0,60
002119,深主板,10,0,9,5,4,60
600456,沪主板,0,0,1,1,1,60
002281,深主板,11,0,12,7,6,60
300189,创业板,0,0,0,0,0,60
688459,科创板,0,0,0,0,0,60
603871,沪主板,1,0,1,1,1,60
603387,沪主板,1,0,1,0,0,60
600719,沪主板,5,0,7,2,1,60
688603,科创板,7,2,20,8,7,60
688767,科创板,1,0,4,2,1,60
001255,深主板,0,0,0,0,0,60
688283,科创板,3,0,2,2,2,60
600299,沪主板,1,0,1,1,1,60
002827,深主板,5,0,5,5,5,60
600016,沪主板,0,0,0,0,0,60
301291,创业板,4,0,3,1,0,60
300534,创业板,7,3,10,7,2,60
301133,创业板,3,0,2,1,1,60
002572,深主板,0,0,0,0,0,60
600642,沪主板,0,0,0,0,0,60
300599,创业板,4,0,0,0,0,60
002221,深主板,0,0,1,1,1,60
300638,创业板,1,0,2,1,1,60
603236,沪主板,4,0,0,0,0,60
301151,创业板,3,1,3,2,1,60
300043,创业板,3,0,2,1,1,60
601808,沪主板,0,0,1,0,0,60
300158,创业板,0,0,0,0,0,60
301162,创业板,0,0,2,0,0,60
300702,创业板,1,0,0,0,0,60
688092,科创板,1,0,2,1,1,60
300055,创业板,1,0,1,0,0,60
603033,沪主板,3,0,1,1,1,60
600076,沪主板,4,0,5,5,3,60
301258,创业板,0,0,1,0,0,60
002816,深主板,1,0,1,1,1,60
002271,深主板,0,0,0,0,0,60
300056,创业板,1,0,0,0,0,60
300915,创业板,0,0,0,0,0,60
603160,沪主板,1,0,1,0,0,60
002551,深主板,0,0,0,0,0,60
688003,科创板,6,1,9,6,5,60
300850,创业板,1,0,0,0,0,60
001313,深主板,4,0,0,0,0,60
688312,科创板,6,0,6,5,5,60
300162,创业板,7,2,11,7,3,60
605066,沪主板,1,0,2,2,1,60
688711,科创板,10,1,10,6,5,60
688001,科创板,7,2,12,6,4,60
002469,深主板,1,0,1,0,0,60
600419,沪主板,1,0,1,0,0,60
688367,科创板,4,1,8,4,3,60
300739,创业板,6,0,5,2,1,60
688696,科创板,0,0,0,0,0,60
600657,沪主板,0,0,0,0,0,60
688519,科创板,15,0,14,8,3,60
605289,沪主板,9,0,4,4,4,60
000960,深主板,5,0,13,6,3,60
000848,深主板,0,0,1,0,0,60
300868,创业板,12,2,11,4,2,60
300161,创业板,1,0,0,0,0,60
603908,沪主板,0,0,0,0,0,60
300057,创业板,4,0,2,0,0,60
002550,深主板,2,0,1,0,0,60
002470,深主板,0,0,1,0,0,60
605168,沪主板,4,0,4,3,0,60
600420,沪主板,0,0,0,0,0,60
300937,创业板,1,1,5,4,2,60
000975,深主板,3,0,7,5,3,60
300427,创业板,2,1,5,4,3,60
000591,深主板,0,0,1,0,0,60
600028,沪主板,0,0,0,0,0,60
600886,沪主板,0,0,0,0,0,60
600325,沪主板,0,0,0,0,0,60
601127,沪主板,1,0,3,1,1,60
603628,沪主板,0,0,1,0,0,60
301161,创业板,3,0,2,2,1,60
301259,创业板,3,1,1,0,0,60
600027,沪主板,0,0,0,0,0,60
688768,科创板,1,0,2,1,0,60
000567,深主板,0,0,1,1,1,60
301160,创业板,4,0,4,2,1,60
600653,沪主板,0,0,0,0,0,60
300053,创业板,2,0,1,1,1,60
300795,创业板,9,5,11,10,8,60
300938,创业板,3,0,8,4,2,60
605566,沪主板,4,0,4,3,2,60
600422,沪主板,0,0,1,1,0,60
001279,深主板,1,0,0,0,0,60
001226,深主板,2,0,1,0,0,60
300528,创业板,5,1,7,5,3,60
300164,创业板,10,1,21,17,11,60
688306,科创板,3,0,0,0,0,60
600722,沪主板,8,0,10,8,6,60
600796,沪主板,0,0,0,0,0,60
600739,沪主板,0,0,0,0,0,60
002043,深主板,1,0,0,0,0,60
002030,深主板,1,0,5,1,1,60
002553,深主板,0,0,0,0,0,60
603385,沪主板,0,0,1,0,0,60
600973,沪主板,2,0,3,2,1,60
300738,创业板,0,0,3,2,1,60
002552,深主板,22,0,21,12,9,60
301262,创业板,0,0,2,1,0,60
600322,沪主板,3,0,0,0,0,60
002203,深主板,5,0,7,4,3,60
002095,深主板,0,0,0,0,0,60
002272,深主板,9,0,7,5,2,60
688365,科创板,2,0,3,2,1,60
300054,创业板,4,0,10,5,4,60
301163,创业板,1,0,0,0,0,60
688050,科创板,0,0,0,0,0,60
000420,深主板,0,0,2,0,0,60
002815,深主板,6,0,7,3,2,60
002162,深主板,1,0,1,1,1,60
603618,沪主板,12,0,16,9,6,60
603588,沪主板,4,0,5,2,2,60
603183,沪主板,1,0,0,0,0,60
300869,创业板,0,0,0,0,0,60
002468,深主板,1,0,3,2,1,60
001308,深主板,0,0,0,0,0,60
300660,创业板,1,0,4,1,0,60
603066,沪主板,0,0,0,0,0,60
000019,深主板,0,0,0,0,0,60
600863,沪主板,5,0,8,6,2,60
688195,科创板,6,0,9,6,3,60
300426,创业板,1,0,0,0,0,60
002215,深主板,1,0,1,0,0,60
301260,创业板,0,0,0,0,0,60
688065,科创板,1,0,0,0,0,60
603070,沪主板,5,0,4,2,1,60
002111,深主板,0,0,1,1,0,60
300062,创业板,1,1,4,2,1,60
300507,创业板,0,0,0,0,0,60
300661,创业板,3,0,4,3,1,60
000735,深主板,0,0,0,0,0,60
000685,深主板,1,0,2,2,1,60
600864,沪主板,0,0,0,0,0,60
600655,沪主板,0,0,0,0,0,60
001373,深主板,0,0,0,0,0,60
000822,深主板,0,0,0,0,0,60
600328,沪主板,0,0,0,0,0,60
688259,科创板,1,0,4,1,0,60
600032,沪主板,3,0,3,0,0,60
002270,深主板,3,0,1,0,0,60
300644,创业板,0,0,1,0,0,60
688627,科创板,10,1,13,8,5,60
603229,沪主板,0,0,0,0,0,60
600415,沪主板,0,0,1,1,0,60
002475,深主板,0,0,5,4,2,60
300428,创业板,0,0,1,1,1,60
300061,创业板,2,0,2,2,1,60
688151,科创板,1,0,1,1,0,60
300155,创业板,0,0,1,0,0,60
603068,沪主板,3,0,1,0,0,60
301252,创业板,3,0,2,0,0,60
300154,创业板,2,0,2,0,0,60
300429,创业板,2,0,3,1,1,60
600737,沪主板,2,0,2,0,0,60
600030,沪主板,0,0,0,0,0,60
600795,沪主板,0,0,0,0,0,60
603036,沪主板,3,0,0,0,0,60
000568,深主板,0,0,0,0,0,60
300596,创业板,5,0,2,0,0,60
002205,深主板,0,0,0,0,0,60
301248,创业板,6,0,7,4,2,60
300066,创业板,1,0,1,1,1,60
300935,创业板,2,0,4,2,0,60
000962,深主板,10,0,11,6,3,60
600329,沪主板,0,0,0,0,0,60
601606,沪主板,3,0,3,3,3,60
002474,深主板,1,0,1,0,0,60
688203,科创板,0,0,0,0,0,60
002546,深主板,3,0,1,1,1,60
600410,沪主板,2,0,3,1,0,60
301168,创业板,1,0,2,0,0,60
002096,深主板,2,0,0,0,0,60
600885,沪主板,1,0,1,1,0,60
002771,深主板,4,0,1,1,0,60
601038,沪主板,1,0,0,0,0,60
301167,创业板,0,0,0,0,0,60
300065,创业板,4,1,4,3,1,60
603345,沪主板,0,0,1,0,0,60
002548,深主板,2,0,0,0,0,60
600724,沪主板,2,0,0,0,0,60
600676,沪主板,2,0,3,3,3,60
300643,创业板,2,1,1,0,0,60
000059,深主板,0,0,1,1,1,60
300755,创业板,3,0,3,3,2,60
600029,沪主板,0,0,1,1,1,60
600992,沪主板,7,0,4,2,2,60
300059,创业板,1,0,0,0,0,60
600738,沪主板,0,0,0,0,0,60
301257,创业板,4,0,5,2,1,60
600075,沪主板,0,0,0,0,0,60
002471,深主板,4,0,1,1,1,60
603589,沪主板,0,0,1,0,0,60
300700,创业板,2,0,3,1,1,60
688137,科创板,1,0,0,0,0,60
601199,沪主板,1,0,0,0,0,60
600326,沪主板,0,0,1,1,0,60
002549,深主板,6,0,9,7,6,60
600418,沪主板,2,0,2,0,0,60
300160,创业板,0,0,0,0,0,60
688565,科创板,0,0,0,0,0,60
002112,深主板,2,0,2,1,1,60
000402,深主板,0,0,0,0,0,60
002772,深主板,2,0,2,2,1,60
301261,创业板,0,0,1,0,0,60
001213,深主板,0,0,0,0,0,60
603035,沪主板,0,0,0,0,0,60
600327,沪主板,0,0,0,0,0,60
301165,创业板,8,1,12,10,7,60
603380,沪主板,6,0,7,3,3,60
001376,深主板,3,0,0,0,0,60
002810,深主板,1,0,2,2,2,60
688581,科创板,0,0,0,0,0,60
603626,沪主板,2,0,4,0,0,60
301255,创业板,1,0,1,0,0,60
688522,科创板,0,0,2,1,0,60
600789,沪主板,0,0,0,0,0,60
002472,深主板,2,0,3,0,0,60
000910,深主板,1,0,0,0,0,60
601800,沪主板,0,0,0,0,0,60
600416,沪主板,1,0,1,1,1,60
300058,创业板,1,1,5,2,1,60
301166,创业板,0,0,0,0,0,60
300157,创业板,2,0,5,3,3,60
300525,创业板,2,0,0,0,0,60
603881,沪主板,2,0,4,2,1,60
300936,创业板,10,0,9,4,3,60
301256,创业板,0,0,1,0,0,60
603185,沪主板,1,0,0,0,0,60
603193,沪主板,1,0,0,0,0,60
603901,沪主板,0,0,0,0,0,60
603757,沪主板,11,0,13,5,4,60
002813,深主板,0,0,1,0,0,60
603991,沪主板,9,0,8,6,2,60
301159,创业板,0,0,1,1,0,60
300505,创业板,5,1,4,1,0,60
002461,深主板,0,0,0,0,0,60
300848,创业板,1,0,1,1,1,60
688085,科创板,0,0,0,0,0,60
301272,创业板,0,0,0,0,0,60
688152,科创板,0,0,0,0,0,60
600433,沪主板,0,0,2,0,0,60
300641,创业板,1,0,1,1,0,60
601100,沪主板,1,0,1,1,0,60
002766,深主板,4,0,5,5,4,60
002558,深主板,4,0,4,2,0,60
688661,科创板,16,2,14,11,6,60
002819,深主板,0,0,1,1,0,60
603909,沪主板,0,0,1,0,0,60
000981,深主板,1,0,1,0,0,60
603237,沪主板,0,0,1,1,1,60
688353,科创板,4,0,2,2,1,60
688699,科创板,8,0,6,2,2,60
688258,科创板,5,0,6,4,3,60
605288,沪主板,9,0,7,4,1,60
002194,深主板,4,0,1,1,0,60
601137,沪主板,2,0,4,3,2,60
300529,创业板,0,0,0,0,0,60
300042,创业板,8,0,13,7,2,60
301155,创业板,0,0,1,0,0,60
300170,创业板,1,0,2,0,0,60
688633,科创板,0,0,1,1,0,60
600650,沪主板,0,0,3,1,1,60
601326,沪主板,0,0,0,0,0,60
301156,创业板,0,0,2,0,0,60
002048,深主板,1,0,1,0,0,60
603031,沪主板,7,0,10,7,3,60
600884,沪主板,1,0,0,0,0,60
000978,深主板,0,0,0,0,0,60
600785,沪主板,4,0,4,2,2,60
001356,深主板,0,0,0,0,0,60
600316,沪主板,0,0,0,0,0,60
300757,创业板,7,0,13,9,7,60
000570,深主板,0,0,0,0,0,60
603993,沪主板,2,0,7,2,2,60
002768,深主板,1,0,3,1,0,60
300425,创业板,0,0,0,0,0,60
688608,科创板,1,0,1,0,0,60
000401,深主板,0,0,0,0,0,60
301269,创业板,4,0,9,4,2,60
603032,沪主板,5,0,6,4,3,60
002202,深主板,2,0,2,1,1,60
002170,深主板,0,0,0,0,0,60
600429,沪主板,1,0,1,0,0,60
300941,创业板,0,0,0,0,0,60
688305,科创板,2,0,1,0,0,60
603739,沪主板,0,0,0,0,0,60
600649,沪主板,0,0,0,0,0,60
300597,创业板,0,0,1,0,0,60
603878,沪主板,0,0,1,0,0,60
002274,深主板,1,0,2,2,1,60
688136,科创板,4,0,0,0,0,60
002216,深主板,0,0,0,0,0,60
600436,沪主板,1,0,1,1,1,60
002458,深主板,3,0,5,3,2,60
301270,创业板,3,1,2,1,0,60
603073,沪主板,0,0,1,0,0,60
300696,创业板,2,0,0,0,0,60
300943,创业板,10,1,6,6,5,60
300421,创业板,1,0,2,1,1,60
002278,深主板,0,0,0,0,0,60
301153,创业板,0,0,0,0,0,60
000030,深主板,0,0,0,0,0,60
603299,沪主板,0,0,0,0,0,60
688525,科创板,7,0,17,13,8,60
002561,深主板,0,0,0,0,0,60
605098,沪主板,1,0,3,1,0,60
603383,沪主板,0,0,0,0,0,60
002820,深主板,0,0,0,0,0,60
300045,创业板,1,1,2,2,2,60
688216,科创板,9,4,6,2,2,60
300171,创业板,0,0,0,0,0,60
688391,科创板,1,0,1,1,0,60
600861,沪主板,0,0,0,0,0,60
600315,沪主板,0,0,0,0,0,60
688247,科创板,1,1,0,0,0,60
688372,科创板,8,0,7,3,2,60
301152,创业板,0,0,1,1,1,60
601011,沪主板,1,0,2,0,0,60
605580,沪主板,9,0,12,7,4,60
301268,创业板,0,0,0,0,0,60
000679,深主板,3,0,0,0,0,60
002460,深主板,0,0,1,1,0,60
000733,深主板,4,0,6,4,2,60
002559,深主板,4,0,8,7,4,60
603335,沪主板,8,0,6,4,4,60
300172,创业板,0,0,0,0,0,60
300422,创业板,0,0,1,0,0,60
002560,深主板,3,0,4,2,0,60
000519,深主板,3,0,2,2,0,60
600313,沪主板,0,0,0,0,0,60
600435,沪主板,0,0,0,0,0,60
600081,沪主板,1,0,0,0,0,60
601138,沪主板,1,0,7,5,3,60
002767,深主板,3,0,2,2,1,60
002115,深主板,3,0,6,3,1,60
000710,深主板,1,0,1,1,1,60
002273,深主板,6,0,5,4,3,60
002250,深主板,2,0,1,1,0,60
002219,深主板,1,0,2,1,0,60
603880,沪主板,2,0,2,1,1,60
601958,沪主板,7,0,8,3,2,60
688249,科创板,6,0,9,4,3,60
603755,沪主板,0,0,0,0,0,60
605333,沪主板,0,0,0,0,0,60
000738,深主板,0,0,0,0,0,60
301158,创业板,1,1,4,3,2,60
001215,深主板,6,0,3,1,0,60
600026,沪主板,3,0,6,3,1,60
300642,创业板,0,0,0,0,0,60
300940,创业板,0,0,1,0,0,60
300662,创业板,0,0,0,0,0,60
300849,创业板,4,1,2,1,0,60
603587,沪主板,0,0,0,0,0,60
603629,沪主板,20,0,22,18,14,60
601229,沪主板,0,0,0,0,0,60
000852,深主板,0,0,1,0,0,60
002555,深主板,0,0,1,1,0,60
688543,科创板,0,0,0,0,0,60
002463,深主板,6,0,9,5,3,60
688285,科创板,0,0,1,0,0,60
000766,深主板,4,0,3,3,3,60
300166,创业板,3,1,7,4,3,60
600651,沪主板,0,0,0,0,0,60
603289,沪主板,0,0,1,0,0,60
601816,沪主板,0,0,0,0,0,60
603158,沪主板,2,0,2,1,1,60
002466,深主板,2,0,2,1,1,60
001238,深主板,1,0,1,0,0,60
603373,沪主板,5,0,4,3,2,60
688202,科创板,5,0,1,0,0,60
600320,沪主板,0,0,0,0,0,60
605090,沪主板,3,0,5,2,1,60
000528,深主板,0,0,1,0,0,60
300423,创业板,0,0,0,0,0,60
002817,深主板,0,0,0,0,0,60
000635,深主板,0,0,0,0,0,60
600425,沪主板,0,0,0,0,0,60
300598,创业板,0,0,2,0,0,60
300587,创业板,1,0,0,0,0,60
688018,科创板,3,0,3,2,2,60
300050,创业板,2,0,0,0,0,60
301263,创业板,2,0,1,1,1,60
688420,科创板,0,0,0,0,0,60
002467,深主板,1,0,1,0,0,60
300939,创业板,5,1,4,2,0,60
603906,沪主板,5,0,7,2,1,60
603630,沪主板,2,0,2,1,1,60
300049,创业板,2,0,0,0,0,60
603879,沪主板,0,0,0,0,0,60
688093,科创板,2,1,0,0,0,60
601111,沪主板,0,0,1,1,1,60
002557,深主板,0,0,0,0,0,60
000017,深主板,3,0,2,1,0,60
000065,深主板,0,0,5,0,0,60
600022,沪主板,0,0,0,0,0,60
603350,沪主板,0,0,0,0,0,60
600428,沪主板,1,0,3,3,1,60
688396,科创板,3,0,6,3,3,60
301157,创业板,0,0,1,0,0,60
300865,创业板,0,0,0,0,0,60
002094,深主板,0,0,0,0,0,60
603586,沪主板,1,0,3,3,2,60
002818,深主板,0,0,0,0,0,60
002163,深主板,0,0,0,0,0,60
603069,沪主板,0,0,0,0,0,60
300803,创业板,2,0,0,0,0,60
605162,沪主板,7,0,6,3,2,60
300168,创业板,0,0,1,1,0,60
300047,创业板,1,0,1,0,0,60
300756,创业板,1,0,1,0,0,60
301267,创业板,0,0,0,0,0,60
601811,沪主板,0,0,0,0,0,60
601068,沪主板,0,0,1,0,0,60
301265,创业板,3,0,1,1,1,60
601328,沪主板,0,0,0,0,0,60
300048,创业板,0,0,0,0,0,60
600862,沪主板,1,0,1,1,0,60
603071,沪主板,0,0,0,0,0,60
301266,创业板,0,0,1,0,0,60
600426,沪主板,0,0,0,0,0,60
601456,沪主板,0,0,0,0,0,60
601717,沪主板,0,0,1,1,1,60
600078,沪主板,4,0,5,2,1,60
