id,date,r,entry,stop,exit,symbol,note
1,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
2,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
3,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
4,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
5,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
6,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
7,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
8,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
9,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
10,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
11,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
12,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
13,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
14,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
15,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
16,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
17,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
18,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
19,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
20,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
21,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
22,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
23,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
24,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
25,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
26,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
27,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
28,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
29,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
30,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
31,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
32,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
33,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
34,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
35,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
36,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
37,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
38,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
39,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
40,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
41,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
42,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
43,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
44,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
45,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
46,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
47,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
48,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
49,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
